what,kind,bundleId,bundleVersion,description,time
activated,view,org.eclipse.ui.navigator.resources,3.4.202.M20101124-0800,"org.eclipse.ui.navigator.ProjectExplorer",1519792194458
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1519792203587
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1519792208171
activated,editor,org.eclipse.ui.browser,3.3.1.r36_20101216,"org.eclipse.ui.browser.editor",1519792209835
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1519792212093
activated,editor,org.eclipse.ui.browser,3.3.1.r36_20101216,"org.eclipse.ui.browser.editor",1519792213375
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1519792215186
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1519792216592
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1519792227327
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1519792230328
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1519792231574
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1519792234455
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1519792241010
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1519792242753
activated,view,org.eclipse.wst.server.ui,1.1.207.v20110119,"org.eclipse.wst.server.ui.ServersView",1519792243789
executed,command,org.eclipse.wst.server.ui,1.1.207.v20110119,"org.eclipse.wst.server.run",1519792250783
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1519792252635
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1519792253259
activated,view,org.eclipse.wst.server.ui,1.1.207.v20110119,"org.eclipse.wst.server.ui.ServersView",1519792254448
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1519792255730
activated,editor,org.eclipse.ui.browser,3.3.1.r36_20101216,"org.eclipse.ui.browser.editor",1519792255744
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1519792260144
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1519792263709
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1519792274971
closed,editor,org.eclipse.ui.browser,3.3.1.r36_20101216,"org.eclipse.ui.browser.editor",1519792274971
activated,editor,org.eclipse.wst.html.ui,1.0.504.v201101122108,"org.eclipse.wst.html.core.htmlsource.source",1519792276151
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1519792280029
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.text.contentAssist.proposals",1519792294305
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1519792309838
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1519792332550
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.text.contentAssist.proposals",1519792334027
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.text.contentAssist.proposals",1519792340569
